MMM,"3M Company"
ABT,"Abbott Laboratories"
ABBV,"AbbVie Inc."
ABMD,"ABIOMED Inc"
ACN,"Accenture plc"
ATVI,"Activision Blizzard"
ADBE,"Adobe Inc."
AMD,"Advanced Micro Devices Inc"
AAP,"Advance Auto Parts"
AES,"AES Corp"
AFL,"AFLAC Inc"
A,"Agilent Technologies Inc"
APD,"Air Products & Chemicals Inc"
AKAM,"Akamai Technologies Inc"
ALK,"Alaska Air Group Inc"
ALB,"Albemarle Corp"
ARE,"Alexandria Real Estate Equities"
ALXN,"Alexion Pharmaceuticals"
ALGN,"Align Technology"
ALLE,"Allegion"
ADS,"Alliance Data Systems"
LNT,"Alliant Energy Corp"
ALL,"Allstate Corp"
GOOGL,"Alphabet Inc. (Class A)"
GOOG,"Alphabet Inc. (Class C)"
